Code client;Nom client;adresse livraison
002764;VOIES NAVIGABLES DE FRANCE;13 RUE DES ECLUSES DE SELLES, 59400 CAMBRAI
002004;FILIERIS - DIRECTION;13 RUE DU 14 JUILLET, 62300 LENS
001123;LES SERRES DU BOIS - SARL DAVID DELRUE;13 RUE DU BOIS, 62240 SENLECQUES
002249;RESIDENCE BENOIT FRACHON;13 RUE DU PARC, 62640 MONTIGNY EN GOHELLE
004229;CAP DES TERRITOIRES HAUTS DE FRANCE;13 RUE DU PROGRES, 59600 MAUBEUGE
002300;MAISON RETRAITE D'ARQUES;13 RUE GEORGES SAND, 62510 ARQUES
004399;CHEZ ANDRE;13 RUE LOUIS MARTEL, 62500 ST OMER
004300;DILA COURRIERES;13 RUE PASTEUR, 62710 COURRIERES
003981;LA GARDERIE BAR;13 RUE PHILIPPE LAURENT ROLAND, 59000 LILLE
001285;COLLEGE SALENGRO;13 RUE ROGER SALENGRO, 62280 ST MARTIN BOULOGNE
003964;LE LUTETIA SNC;13 RUE SAINT LAZARRE, 76390 AUMALE
003790;LE FAR WEST;13 RUE VERTE, 62122 LABEUVRIERE
080109;BRASSERIE KAPITTEL FRANCE;130 BOULEVARD DE LA LIBERTÉ, 59000 LILLE
003901;LE CENTRAL;1308 ROUTE NATIONALE, 59310 COUTICHES
004669;AU LONGCHAMP;131 RUE JEAN BAPTISTE LEBAS, 59273 FRETIN
020140;PIREP SA USINE;1311 ROUTE DE LILLERS, 62350 BUSNES
004259;CAP DES TERRITOIRES HAUTS DE FRANCE;132 RUE JEAN JAURES, 59160 LOMME
080130;BRASSERIE CAULIER;134 RUE DE SONDEVILLE, B7600 PERUWELZ
001361;CENT HOSPI TOURCOING(CUI);135 RUE DU PRESIDENT COTY, 59200 TOURCOING
200632;CENT HOSPI TOURCOING(GUI);135 RUE DU PRESIDENT COTY, 59208 TOURCOING
004206;ECOLE PRIMAIRE VIGNACOURT;135 RUE LEON THUILLIER, 80650 VIGNACOURT
200072;HOPITAL D'HAUTMONT;136 RUE GAMBETTA, 59330 HAUTMONT
004405;MAISON SCHIMOWSKI;137 BOULEVARD FOSSE 2, 62320 ROUVROY
004249;BELLA DELICE;1370 AVENUE DE LA PLAGE, 80790 FORT MAHON PLAGE
004351;COMMUNAUTE AGGLOMERATION BETHUNE BRUAY;138 BIS RUE LEON BLUM, 62290 NOEUX LES MINES
080052;PAGO FRANCE SAS;138 RUE LAVOISIER, 71870 MACON
004205;AMICALE DES SAPEURS POMPIERS;138 RUE LEON THUILLIER, 80650 VIGNACOURT
004248;MALOWA;1394 AVENUE DE LA PLAGE, 80790 FORT MAHON PLAGE
003912;LE CERISIER;14 AVENUE DU PEUPLE BELGE, 59000 LILLE
200989;LYCEE PROFESSIONNEL FERRY SAVARY;14 AVENUE JEAN ZAY, 62000 ARRAS
003753;LA CAVE DE LILIE;14 PLACE D'ARMES, 62140 HESDIN
004436;L'ERADIUM - CODE COMPTABLE;14 PLACE GAMBETTA, 80000 AMIENS
056310;LE DICKENS SARL;14 PLACE MARECHAL FOCH, 62500 SAINT OMER
002197;THIERRY TELLIER - CAFE TELLIER;14 ROUTE DE DESVRES, 62240 LOTTINGHEN
004741;EPDSAE - MEF ROUBAIX TOURCOING;14 ROUTE DE HAUTEVALLE, 59126 LINSELLES
003988;LA CASAWAZ;14 RUE D'ARCOLE, 59000 LILLE
004242;COMITE DES FETES NOYELLE-VION;14 RUE D'AVESNES, 62810 NOYELLE VION
200933;EHPAD LES REMPARTS;14 RUE DE LA GARE, 62190 LILLERS
004583;CAP DES TERRITOIRES HAUTS DE FRANCE;14 RUE DE MALUS, 59000 LILLE
004434;L'HEXAGONE;14 RUE DES SERGENTS, 80000 AMIENS
093555;SLAVIA BK EUROPE 91;14 RUE DU BEL AIR, 91090 LISSES
002573;LA CAVE DE BARBEROUSSE SAS;14 RUE DU GENERAL DE GAULE, 80150 GAPENNES
003667;COURRIER PICARD;14 RUE HELENE BOUCHER, 80000 AMIENS
004441;GRAINE DE TOMATE;14 RUE LEON BLUM, 80000 AMIENS
002999;COMPTOIRS DE L'EST;14 RUE LEON GAMBETTA, 59800 LILLE
052570;LE RIL'S RESTAURANT;14 RUE LOUIS MARTEL, 62500 SAINT OMER
004105;LE BAOBAB K.FE;14 RUE PAUL DOUMER, 62000 ARRAS
003620;LE SAINT FUSCIEN;14 RUE SAINT FUSCIEN, 80000 AMIENS
004078;LA LOCOMOTIVE - A.VARET LJ 03/2025;140 BIS RUE DE LA GARE, 59189 STEENBECQUE
000847;CENTRE HOSPITALIER ARROND. MONTREUIL;140 CHEMIN DEPARTEMENTAL 191, 62180 RANG DU FLIERS
800268;SCJM LE CAFE FRANCAIS;140 ROUTE DE WESTOUTRE, 59270 ST JANS CAPPEL
001363;EPSM AGGLOMERATION LILLOISE (BONNAFE);140 RUE DE CHARLEROI, 59100 ROUBAIX
